film_id,r_month,r_year,rental_duration,rental_rate,length,rating,special_features,category_id,rented_last_month
19,08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,05,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,02,2006,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
19,08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
21,05,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,1
21,06,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,1
